timestamp,short_address,terminal_id,stage,period_ms,sequence,accepted_count,rejected_count,application_length,gateway_frame_length,rssi_dbm
2026-07-29T15:42:32.456+08:00,0xB25B,1,4,50,1419,1419,0,32,49,-60
2026-07-29T15:42:32.503+08:00,0xB25B,1,4,50,1420,1420,0,32,49,-60
2026-07-29T15:42:32.549+08:00,0xB25B,1,4,50,1421,1421,0,32,49,-59
2026-07-29T15:42:32.596+08:00,0xB25B,1,4,50,1422,1422,0,32,49,-60
2026-07-29T15:42:32.641+08:00,0xB25B,1,4,50,1423,1423,0,32,49,-60
2026-07-29T15:42:32.689+08:00,0xB25B,1,4,50,1424,1424,0,32,49,-59
2026-07-29T15:42:32.740+08:00,0xB25B,1,4,50,1425,1425,0,32,49,-60
2026-07-29T15:42:32.797+08:00,0xB25B,1,4,50,1426,1426,0,32,49,-60
2026-07-29T15:42:32.844+08:00,0xB25B,1,4,50,1427,1427,0,32,49,-60
2026-07-29T15:42:32.892+08:00,0xB25B,1,4,50,1428,1428,0,32,49,-60
2026-07-29T15:42:32.942+08:00,0xB25B,1,4,50,1429,1429,0,32,49,-60
2026-07-29T15:42:32.992+08:00,0xB25B,1,4,50,1430,1430,0,32,49,-60
2026-07-29T15:42:33.049+08:00,0xB25B,1,4,50,1431,1431,0,32,49,-60
2026-07-29T15:42:33.096+08:00,0xB25B,1,4,50,1432,1432,0,32,49,-60
2026-07-29T15:42:33.147+08:00,0xB25B,1,4,50,1433,1433,0,32,49,-60
2026-07-29T15:42:33.205+08:00,0xB25B,1,4,50,1434,1434,0,32,49,-60
2026-07-29T15:42:33.251+08:00,0xB25B,1,4,50,1435,1435,0,32,49,-59
2026-07-29T15:42:33.299+08:00,0xB25B,1,4,50,1436,1436,0,32,49,-59
2026-07-29T15:42:33.349+08:00,0xB25B,1,4,50,1437,1437,0,32,49,-59
2026-07-29T15:42:33.407+08:00,0xB25B,1,4,50,1438,1438,0,32,49,-59
2026-07-29T15:42:33.454+08:00,0xB25B,1,4,50,1439,1439,0,32,49,-60
2026-07-29T15:42:33.502+08:00,0xB25B,1,4,50,1440,1440,0,32,49,-59
2026-07-29T15:42:33.552+08:00,0xB25B,1,4,50,1441,1441,0,32,49,-59
2026-07-29T15:42:33.609+08:00,0xB25B,1,4,50,1442,1442,0,32,49,-59
2026-07-29T15:42:33.657+08:00,0xB25B,1,4,50,1443,1443,0,32,49,-58
2026-07-29T15:42:33.706+08:00,0xB25B,1,4,50,1444,1444,0,32,49,-58
